qid	docid	relevance	ranking_1	ranking_2	ranking_3	ranking_4	ranking_5	ranking_6	ranking_7	ranking_8	ranking_9	ranking_10	ranking_11	ranking_12	ranking_13	ranking_14	ranking_15	ranking_16	ranking_17	ranking_18	ranking_19	ranking_20	ranking_21	ranking_22	ranking_23	ranking_24	ranking_25	ranking_1_rank	ranking_2_rank	ranking_3_rank	ranking_4_rank	ranking_5_rank	ranking_6_rank	ranking_7_rank	ranking_8_rank	ranking_9_rank	ranking_10_rank	ranking_11_rank	ranking_12_rank	ranking_13_rank	ranking_14_rank	ranking_15_rank	ranking_16_rank	ranking_17_rank	ranking_18_rank	ranking_19_rank	ranking_20_rank	ranking_21_rank	ranking_22_rank	ranking_23_rank	ranking_24_rank	ranking_25_rank	rrf	squared_rrf	mrrf
10002	GX008-86-4444840	0	1	30	48	133	0	265	0	208	252	0	194	51	0	25	0	0	0	0	0	0	0	287	75	0	0	3	1	2	1	0	1	0	1	1	0	1	1	0	3	0	0	0	0	0	0	0	1	1	0	0	0.19541604761065368	9.472222222222221	0.6585770675567556
10002	GX037-06-11625428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	100	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0.04918032786885246	3.0	0.16682644612273395
10002	GX044-30-4142998	0	0	0	0	0	0	8	0	124	54	150	185	0	0	271	162	125	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	3	3	3	2	0	0	1	1	1	0	0	0	0	0	4	0	0	0	0.1441784077459646	3.7083333333333335	0.47809366794161356
10002	GX228-42-3888699	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0.04918032786885246	3.0	0.16682644612273395
10002	GX229-14-12863205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0.03225806451612903	0.5	0.10765889802682851
10002	GX240-35-2775348	0	0	8	13	0	0	112	0	13	23	219	10	0	0	80	0	110	0	0	0	0	0	36	0	0	0	0	3	3	0	0	3	0	4	4	2	4	0	0	2	0	2	0	0	0	0	0	3	0	0	0	0.15875416026625705	1.3819444444444444	0.521577936204656
10002	GX246-16-5503229	0	32	9	5	0	0	230	0	165	214	235	154	0	0	1	0	14	0	0	0	0	0	241	0	0	0	1	2	4	0	0	2	0	2	2	1	3	0	0	5	0	3	0	0	0	0	0	2	0	0	0	0.17618769366687137	3.5747222222222224	0.5841260753407916
10002	GX255-50-7550514	0	4	0	121	11	1	0	0	0	0	0	0	0	0	9	131	0	0	0	0	0	0	0	0	0	0	2	0	1	2	1	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0.0967989820200952	2.8125	0.3232236540601101
10032	GX010-65-7921994	0	0	0	0	0	0	0	0	0	0	0	0	56	0	228	0	156	0	0	343	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0.0819672131147541	5.0	0.27804407687122323
10032	GX024-71-0000000	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0.03225806451612903	0.5	0.10765889802682851
