qid	docid	relevance	ranking_1	ranking_2	ranking_3	ranking_4	ranking_5	ranking_6	ranking_7	ranking_8	ranking_9	ranking_10	ranking_11	ranking_12	ranking_13	ranking_14	ranking_15	ranking_16	ranking_17	ranking_18	ranking_19	ranking_20	ranking_21	ranking_22	ranking_23	ranking_24	ranking_25
10002	GX008-86-4444840	0	1	30	48	133	0	265	0	208	252	0	194	51	0	25	0	0	0	0	0	0	0	287	75	0	0
10002	GX037-06-11625428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	100	120	0	0	0	0	0	0
10002	GX044-30-4142998	0	0	0	0	0	0	8	0	124	54	150	185	0	0	271	162	125	0	0	0	0	0	4	0	0	0
10002	GX228-42-3888699	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	12	13
10002	GX229-14-12863205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
10002	GX240-35-2775348	0	0	8	13	0	0	112	0	13	23	219	10	0	0	80	0	110	0	0	0	0	0	36	0	0	0
10002	GX246-16-5503229	0	32	9	5	0	0	230	0	165	214	235	154	0	0	1	0	14	0	0	0	0	0	241	0	0	0
10002	GX255-50-7550514	0	4	0	121	11	1	0	0	0	0	0	0	0	0	9	131	0	0	0	0	0	0	0	0	0	0
10032	GX010-65-7921994	0	0	0	0	0	0	0	0	0	0	0	0	56	0	228	0	156	0	0	343	0	183	0	0	0	0
10032	GX024-71-0000000	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0
10032	GX029-17-16711721	0	1	2	122	0	0	0	0	0	0	155	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0
10032	GX029-35-5894638	2	6	96	88	0	0	297	0	287	301	90	290	0	0	143	193	8	0	0	68	0	54	264	0	0	0
10032	GX030-77-6315042	0	13	82	2	0	0	6	0	4	6	5	4	0	0	108	178	0	0	0	1	0	38	6	0	0	0
10032	GX140-98-13566007	0	0	0	0	0	0	352	0	371	353	0	368	0	0	0	0	0	44	123	0	1	0	353	138	0	0
10032	GX256-43-0740276	1	142	0	0	103	104	22	0	30	22	0	29	0	0	0	41	136	140	0	74	0	0	21	0	0	0
10032	GX266-75-11189217	0	0	0	0	67	70	337	0	0	338	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0
10035	GX026-92-0492427	0	128	16	3	0	0	2	0	2	2	30	1	0	0	86	18	45	0	0	0	0	68	1	0	0	0
10035	GX031-29-0590777	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9	7
10035	GX046-28-2590531	0	0	0	206	0	0	44	0	50	41	269	85	0	0	183	58	6	0	0	0	0	132	43	27	0	0
10035	GX058-84-15460908	0	38	1	10	0	0	163	0	342	197	18	331	0	0	1	0	155	0	0	0	0	0	159	0	0	0
